Chemical.Number,Chemical.Name,Chemical.CAS,Chemical.Class,Peak_Frequency_up,Peak_Frequency_dn,Peak_Decay_Rise_Ratio_up,Peak_Frequency_zero,Total_Cells_zero,Risk.lable
528,Nalidixic_acid,389-08-2,Pharmaceutical,58.9395,1205.87,1000,50245.55,4142.315,
529,Imazalil,35554-44-0,Microbiocide,211.9545,4.954305,4.11773,49.45735,548.758,
530,Perfluorooctanoic_acid,335-67-1,Surfactant,177.4005,1000,1353.15,42375.75,2687.43,
531,Hexaconazole,79983-71-4,Microbiocide,2.492655,217.4535,4.414565,7732.97,271.6325,
532,Mifepristone,84371-65-3,Pharmaceutical,1.51066,17.2768,542.069,9126.45,138.595,Possible
533,Ametryn,834-12-8,Herbicide,0.416182,335.126,15.1946,7672.29,225.2395,
534,Levonorgestrel,797-63-7,Pharmaceutical,1.514815,1360.69,1355.035,37757.6,1838.55,
535,Tefluthrin,79538-32-2,Pesticide,1.728235,541.0415,275.6245,38986.3,959.7935,
536,"Tris(1,3-dichloro-2-propyl)_phosphate",13674-87-8,Flame retardant,0.155975,53.9773,48.5719,1594.39,78.5439,
537,(-)-Epigallocatechin_gallate,989-51-5,Food flavor fragrance,279.5285,3.626505,186.089,17508.05,601.7225,
538,Ethyl_phthalyl_ethyl_glycolate,84-72-0,Plasticizer,120.664,130.515,163.3115,11271.5,625.9295,
539,Esfenvalerate,66230-04-4,Pesticide,30.03805,128.5175,4.01355,40969.9,3326.225,
540,Buprofezin,69327-76-0,Pesticide,5.09631,1000,148.8935,25851.95,3059.37,
541,4-Chloroaniline,106-47-8,Chemical intermediate,28.36855,738.8395,255.4665,7727.095,1584.765,
542,Cresol,1319-77-3,Food flavor fragrance,19.26735,1100.54,920.2545,42339.3,2496.12,
543,Dibutyl_adipate,105-99-7,Plasticizer,3.47604,1635.98,1000,40911.4,3688.24,
544,N-Nitrosodibutylamine,924-16-3,Other,3.903735,1300.565,1641.97,50170.25,2470.605,
545,Acrylamide,79-06-1,Chemical intermediate,650.855,627.0985,310.44,28662.35,3095.76,
546,Indoxacarb,173584-44-6,Pesticide,1.032885,31.0956,95.79435,209.929,598.506,
547,Tributyl_phosphate,126-73-8,Solvent,1.6552,421.693,145.5035,8722.96,458.2845,
548,2-Chloro-N-phenylacetamide,587-65-5,Other,14.48005,1445.505,947.0595,51560.8,42.97665,
549,"2,3,6-Trimethylphenol",2416-94-6,Food flavor fragrance,12.44785,603.2615,726.5565,22742.65,1571.635,
550,"N,N-Diethylaniline",91-66-7,Chemical intermediate,275.2305,1006.475,1139.045,53973.95,2389.66,
551,"1,5,9-Cyclododecatriene",4904-61-4,Chemical intermediate,137.811,1318.305,1575.195,39585.75,776.686,
552,2-Methyl-1-propanol,78-83-1,Food flavor fragrance,274.0425,1000,1808.71,47226.5,222.6675,
553,Fluthiacet-methyl,117337-19-6,Herbicide,5.734275,1000,733.928,39469.6,76.28005,
554,Vinclozolin,50471-44-8,Microbiocide,86.504,1130.64,335.2495,33814.5,79.60395,
555,Permethrin,52645-53-1,Pesticide,6.99222,1000,401.8605,33386.15,970.8145,
556,Maleic_hydrazide,123-33-1,Herbicide,266.079,1000,1693.82,37321.1,2005.45,
557,Octhilinone,26530-20-1,Pesticide,28.6731,5.626635,3.57587,574.4485,13.8573,
558,"Dodecylbenzene_sulfonate_triethanolamine(1,1)",27323-41-7,Surfactant,875.9,23.20075,118.432,828.6615,1439.1,
559,Bisphenol_A,80-05-7,Plasticizer,2.962155,216.3305,77.0893,7084.59,508.196,
560,Diclosulam,145701-21-9,Herbicide,1000,203.125,1000,24825.6,3682.365,
561,4-Dimethylaminoantipyrine,58-15-1,Pharmaceutical,91.5326,1000,1000,59607.45,3365.72,
562,Diisobutyl_phthalate,84-69-5,Plasticizer,30.51365,125.091,1.263785,6780.63,173.335,
563,Phenacetin,62-44-2,Pharmaceutical,52.40415,1297.33,1293.685,51477.55,1980.42,
564,Chlorotrianisene,569-57-3,Pharmaceutical,4.765955,1000,914.5315,31283.1,1539.545,
565,Bis(2-chloroethyl)_ether,111-44-4,Solvent,184.4075,1527.675,1000,55419.95,3021.445,
566,3-Nitrotoluene,99-08-1,Chemical intermediate,679.672,1000,1000,43409.15,3083.28,
567,17-Methyltestosterone,58-18-4,Pharmaceutical,3.70731,1000,757.5245,36479.85,2363.575,
568,Bisphenol_AF,1478-61-1,Plasticizer,10.38875,52.91045,2.834065,1569.955,265.0685,
569,Dimethyl_succinate,106-65-0,Chemical intermediate,627.4195,1000,570.7115,40145.05,2284.1,
570,Fenamidone,161326-34-7,Microbiocide,146.3525,61.83665,181.832,7117.07,601.1205,
571,Sodium_(2-pyridylthio)-N-oxide,3811-73-2,Microbiocide,3.64443,1000,365.9555,38177.35,2276.41,
572,Corticosterone,50-22-6,Pharmaceutical,0.2954735,826.7315,1000,28382.9,1395.61,
573,"1,4-Dichlorobenzene",106-46-7,Chemical intermediate,0.2547005,1000,1000,37427.25,2331.935,
574,Dichlorophen,97-23-4,Microbiocide,3.729195,39.90165,44.6049,1627.945,9.75649,
575,Piperazine,110-85-0,Pesticide,30.1939,1057.455,253.6345,41609.1,1282.105,
576,Gibberellic_acid,77-06-5,Herbicide,136.1195,1235.005,1582.875,52957.95,1467.765,
577,"2,3-Dinitrotoluene",602-01-7,Chemical intermediate,19.48865,939.8115,91.4375,34975.8,599.0255,
578,Cinmethylin,87818-31-3,Herbicide,0.4808745,273.739,13.5528,9193.39,274.6135,
579,Isoxaflutole,141112-29-0,Herbicide,18.62485,1625.475,330.2,39066,1271.675,
580,Propiconazole,60207-90-1,Microbiocide,1.07037,108.5435,7.19128,5149.16,253.0815,
581,Butachlor,23184-66-9,Herbicide,0.0110016,67.60825,58.94715,2102.89,128.4,
582,1-Chloro-4-nitrobenzene,100-00-5,Chemical intermediate,185.549,1000,1122.815,44456.4,2124.57,
583,Pirimiphos-methyl,29232-93-7,Pesticide,0.04012035,335.5235,3.01968,10567.3,394.3295,
584,Cyromazine,66215-27-8,Pesticide,241.504,1046.135,337.8265,51446,3537.31,
585,1-Chloro-2-nitrobenzene,88-73-3,Chemical intermediate,58.7375,1677.22,965.8555,56926.15,1777.06,
586,Bisphenol_E,2081-08-5,Plasticizer,116.082,18.3451,75.8546,202.5965,719.1675,
587,Dichlobenil,1194-65-6,Herbicide,7.433895,1000,517.632,45074.4,2642.345,
588,Sulfentrazone,122836-35-5,Herbicide,741.8295,908.406,105.0825,41309.7,4143.195,
589,"7,12-Dimethylbenz(a)anthracene",57-97-6,PAH,7.221085,560.197,32.996,24360.75,1247.86,
590,1-Methoxy-2-propanol,107-98-2,Solvent,460.0015,962.031,1250.345,56026.6,3043.89,
591,Hydrochlorothiazide,58-93-5,Pharmaceutical,72.3732,1000,392.7365,59794.85,4052.545,Conditional
592,FR900409,138472-01-2,Pharmaceutical,32.4689,1785.625,445.423,50186,3861.705,
593,2-Methoxy-5-nitroaniline,99-59-2,Chemical intermediate,13.6188,436.2525,122.183,3158.285,3499.725,
594,Dipropylene_glycol,25265-71-8,Solvent,0.51293,922.9155,227.214,31817.05,1584.745,
595,Asulam,3337-71-1,Herbicide,111.1895,1574.07,1485.645,34016.35,2554.49,
596,Oxyphenisatin,125-13-3,Pharmaceutical,0.002003825,238.16,0.261839,6653.655,530.293,
597,Lactofen,77501-63-4,Herbicide,48.89895,141.879,508.6915,5313.44,299.9965,
598,Octanal,124-13-0,Food flavor fragrance,91.10605,1270.525,1844.525,35778.25,1957.26,
599,Dichloroacetic_acid,79-43-6,Microbiocide,36.6836,1705.39,1490.84,51685.1,3530.45,
600,Acrylonitrile,107-13-1,Chemical intermediate,94.33535,1261.305,1326.855,43753.1,2562.405,
601,Docusate_sodium,577-11-7,Pharmaceutical,223.2985,19.62355,25.71155,1826.62,346.325,
602,Sodium_dimethyldithiocarbamate,128-04-1,Microbiocide,57.7913,86.22825,486.7725,2933.54,3774.705,
603,Bisphenol_B,77-40-7,Plasticizer,3.99646,118.2125,183.188,6512.005,395.5565,
604,Rotenone,83-79-4,Pesticide,4.37871,87.06475,560.777,20360.4,1021.435,
605,Acetochlor,34256-82-1,Herbicide,1.240485,675.07,590.2075,26757.4,35.317,
606,Dichlorodiphenyltrichloroethane,50-29-3,Pesticide,60.3561,108.257,1000,570.524,2057.605,
607,Chlorpyrifos,2921-88-2,Pesticide,777.6245,54.952,786.003,837.844,2942.595,
608,Phorate,298-02-2,Pesticide,18.0293,153.9735,23.50855,667.359,1306.665,
609,Pentachloronitrobenzene,82-68-8,Microbiocide,56.685,1506.1,1636.495,56437.45,435.0585,
610,Boric_acid,10043-35-3,Pesticide,394.8715,1248.14,1629.4,50814.4,2906.32,
611,"1,3-Dibromo-5,5-dimethylhydantoin",77-48-5,Microbiocide,32.8033,933.043,223.104,37566.25,2822.005,
612,Gemfibrozil,25812-30-0,Pharmaceutical,113.481,927.138,1443.045,27260.25,3790.47,
613,Fenpropathrin,39515-41-8,Pesticide,39.21845,1.028065,80.99485,98.97835,1453.12,
614,"4,4'-Diaminobiphenyl_methane",101-77-9,Chemical intermediate,8.2641,938.829,138.874,29000.15,2501.765,
615,Ethion,563-12-2,Pesticide,76.80765,667.7685,123.2165,38503.4,2041.345,
616,4-Cumylphenol,599-64-4,Chemical intermediate,2.65028,268.4995,149.211,21708.2,570.2175,
617,tert-Butyl_perbenzoate,614-45-9,Chemical intermediate,23.69905,1221.68,878.5835,46527.95,167.095,
618,Mepiquat_chloride,24307-26-4,Herbicide,733.2985,1000,1412.765,41553.15,604.12,
619,D-Limonene,5989-27-5,Food flavor fragrance,25.5969,1000,1085.055,32216.85,265.8195,
620,Estrone,53-16-7,Pharmaceutical,3.58267,1224.935,1501.96,40206.6,1471.88,
621,l-Tryptophan,73-22-3,Food flavor fragrance,74.83965,653.651,1000,30196.95,1737.435,
622,Diisobutyl_adipate,141-04-8,Plasticizer,10.56965,1312.915,650.019,41306.55,458.5775,
623,MCPA,94-74-6,Herbicide,17.63815,1332.14,1369.51,36506.85,2175.055,
624,Methylprednisolone,83-43-2,Pharmaceutical,22.75115,247.427,320.2895,9729.02,583.009,
625,Pymetrozine,123312-89-0,Pesticide,510.058,1000,1661.49,40783,3481,
626,"4,4'-Sulfonylbis[2-(prop-2-en-1-yl)phenol]",41481-66-7,Other,10.08805,304.5825,760.4925,22231.35,27.802,
627,Dichlorvos,62-73-7,Pesticide,288.524,289.722,1000,75610.85,2055.87,
628,Methoxychlor,72-43-5,Pesticide,0.5454235,727.8665,795.3775,25681.65,1481.475,
629,Troglitazone,97322-87-7,Pharmaceutical,1.49036,733.519,1000,18852.15,956.1285,
630,Flumetralin,62924-70-3,Herbicide,5.526385,1000,7.69689,15970.85,832.294,
631,Benz(a)anthracene,56-55-3,PAH,141.831,856.2025,545.471,41635.05,1537.37,
632,Geranyl_acetate,105-87-3,Food flavor fragrance,32.60595,566.7165,1000,41905.05,98.53735,
633,Tolcapone,134308-13-7,Pharmaceutical,277.1845,1.950375,112.313,714.875,416.478,
634,Bis(2-ethylhexyl)hexanedioate,103-23-1,Pharmaceutical,811.103,783.5345,752.579,44289.2,1684.725,
635,Pyrithiobac-sodium,123343-16-8,Herbicide,1000,673.6765,1424.555,82983.25,2892.63,
636,hifensulfuron_methyl,79277-27-3,Herbicide,144.3655,909.028,1000,31876.95,2565.28,
637,C.I._Solvent_Yellow_14,842-07-9,Dye,1.408845,1420.415,1011.665,49724.35,2848.625,
638,Chlorhexidine_diacetate,56-95-1,Microbiocide,125.5295,175.2845,0.114882,23055.45,591.0765,
639,1-Dodecyl-2-pyrrolidinone,2687-96-9,Surfactant,0.6223655,173.667,3.587755,6511.47,41.2208,
640,Pentyl_acetate,628-63-7,Food flavor fragrance,104.5605,1000,1435.105,48401.65,614.7815,
641,Pentaerythritol_dibromide,3296-90-0,Flame retardant,931.2795,1000,2065.27,47082.7,782.6125,
642,Dicamba,1918-00-9,Herbicide,149.077,835.3645,1000,43033.05,1824.805,
643,Methyl_salicylate,119-36-8,Food flavor fragrance,76.2999,902.5195,471.0025,46415.85,3200.475,
644,"5,5-Dimethylhydantoin",77-71-4,Chemical intermediate,123.899,1000,857.2315,49068.75,1487.105,
645,1-Benzylquinolinium_chloride,15619-48-4,Other,793.1785,17.06145,4.55727,403.616,981.3625,
646,"2,4-Dichlorophenol",120-83-2,Chemical intermediate,36.5504,255.7905,218.5985,6715.775,444.7825,
647,Triticonazole,131983-72-7,Microbiocide,363.9235,267.9795,0.09507115,17332.05,1009.825,
648,Nicotinic_acid,59-67-6,Food flavor fragrance,207.4565,315.559,0.2528985,38753.55,2297.285,
649,Azoxystrobin,131860-33-8,Microbiocide,151.1315,60.5888,155.9735,24072.4,32.41775,
650,Coumaphos,56-72-4,Pesticide,21.18095,250.3875,64.2585,1137.265,2973.08,
651,4-Ethyloct-1-yn-3-ol,5877-42-9,Chemical intermediate,322.1115,1.182335,905.1135,4584.02,507.896,
652,Tannic_acid,1401-55-4,Food flavor fragrance,39.35485,1000,1180.485,63552.75,300.2775,
653,Captan,133-06-2,Pesticide,212.3345,8.5909,18.6026,2069.97,546.941,
654,Fluoxastrobin,361377-29-9,Microbiocide,57.5548,33.32535,48.33155,7448.98,380.5955,
655,Fenoxaprop-ethyl,66441-23-4,Herbicide,76.99965,990.7245,524.7085,35805.55,1353.465,
656,tert-Butylbenzene,98-06-6,Solvent,189.6815,1000,1289.5,42388.25,3623.065,
657,Fenbuconazole,114369-43-6,Microbiocide,303.2435,119.4965,2.29998,27034.3,1765.375,
658,Phenmedipham,13684-63-4,Herbicide,15.80075,1684.255,1866.295,52865,3436.22,
659,Hexanoic_acid,142-62-1,Chemical intermediate,197.1355,1404.015,1405.955,49228.25,3468.98,
660,"1,2,3-Trichloropropane",96-18-4,Chemical intermediate,165.7195,960.522,1000,40029,2543.15,
661,N-Nitrosodipropylamine,621-64-7,Other,913.9145,1000,255.859,60645.6,3379.595,
662,Captafol,2425-06-1,Microbiocide,638.224,10.74725,812.5045,3431.31,1451.76,
663,Ethylparaben,120-47-8,Microbiocide,574.354,182.809,209.1315,27735.2,335.0685,
664,4-(Butan-2-yl)phenol,99-71-8,Chemical intermediate,4.83133,399.0475,308.2665,9957.025,516.138,
665,Sodium_chlorite,7758-19-2,Microbiocide,526.261,126.0125,153.0125,7597.57,2710.405,
666,Cyanamide,420-04-2,Chemical intermediate,671.0505,567.185,205.087,817.965,2984.44,
667,Cloprop,101-10-0,Herbicide,993.643,1000,1338.26,46850.45,3260.235,
668,"4,4'-Oxydianiline",101-80-4,Chemical intermediate,976.5545,91.48715,1000,598.7735,2450.345,
669,Heptanoic_acid,111-14-8,Food flavor fragrance,1000,11.15555,1107.66,114890,3553.025,
670,Malaoxon,1634-78-2,Pesticide,222.3675,497.1625,1000,44487.5,1530.58,
671,Imidacloprid,138261-41-3,Pesticide,557.2545,1000,1000,2411.12,3204.83,
672,Pentaerythritol,115-77-5,Flame retardant,1000,689.9095,885.376,46207.6,527.8305,
673,1-Tetradecanol,112-72-1,Chemical intermediate,915.578,142.419,71.01805,1155.945,1471.48,
674,Retinol,68-26-8,Pharmaceutical,138.019,100.2143,25.383,8293.74,243.487,
675,Phenanthrene,85-01-8,PAH,329.3065,510.61,1000,24388.05,2404.505,
676,Prochloraz,67747-09-5,Microbiocide,222.7865,3.49379,0.702101,141.7175,454.859,
677,Thiacloprid,111988-49-9,Pesticide,4.745555,1625.74,1389.77,43308.05,3577.215,
678,alpha-Isomethylionone,127-51-5,Food flavor fragrance,62.47115,970.0165,1559.445,45562.85,3327.49,
679,Flusilazole,85509-19-9,Microbiocide,3.40703,49.033,7.39263,2019.15,100.9445,
680,Rhodamine_6G,989-38-8,Dye,19.48305,0.00451546,0.009314015,4646.97,36.6721,
681,Hexanedioic_acid,124-04-9,Food flavor fragrance,533.088,1000,1059.94,38487.65,438.374,
682,Dicofol,115-32-2,Pesticide,1.72413,722.691,578.4255,33586.15,929.2615,
683,Myrcene,123-35-3,Food flavor fragrance,26.0838,1422.125,1695.24,53467.5,473.8575,
684,Bromocresol_green_sodium_salt,62625-32-5,Dye,1232.565,43.31175,227.5035,809.373,224.025,
685,Imazethapyr,81335-77-5,Herbicide,498.876,1000,1606.33,43916.25,1145.74,
686,Propham,122-42-9,Herbicide,11.29595,1000,619.994,34039.85,623.205,
687,"2,5-Furandione",108-31-6,Chemical intermediate,948.1365,1000,1110.765,39220.5,2468.18,
688,"1,2,4-Trimethylbenzene",95-63-6,Solvent,892.8225,805.206,1493.33,42641.5,3663.05,
689,Isooctyl_acrylate,29590-42-9,Plasticizer,163.9605,1363.27,1377.605,51360.25,3187.205,
690,Cycloate,1134-23-2,Herbicide,95.97195,950.726,640.4595,34293.85,1566.335,
691,17alpha-Estradiol,57-91-0,Pharmaceutical,8.38557,193.8365,15.4903,6928.14,425.7285,
692,4-Nitrophenol,100-02-7,Chemical intermediate,1737.715,11.066,1000,20352.75,2410.18,
693,Dimethoxane,828-00-2,Microbiocide,788.9485,1000,1000,56836.65,2782.825,
694,Diphenhydramine_hydrochloride,147-24-0,Pharmaceutical,241.5905,1.137735,0.4042535,862.302,478.8785,Conditional
695,2-Phenoxyethanol,122-99-6,Food flavor fragrance,213.2085,1184.705,371.998,46925.7,1181.625,
696,Carbendazim,10605-21-7,Microbiocide,283.68,1000,1000,46291.5,2379.38,
697,Fenhexamid,126833-17-8,Microbiocide,33.1584,58.5128,9.61028,6226.945,452.187,
698,Fluazinam,79622-59-6,Microbiocide,12.6903,1.757115,16.03015,22004.15,1.44147,
699,Tetramethrin,7696-12-0,Pesticide,9.68046,0.6402865,8.922735,16990.8,357.1705,
700,2-Phenylphenol,90-43-7,Pesticide,113.159,25.5775,8.1708,197.575,541.6875,
701,Linuron,330-55-2,Herbicide,15.7086,298.619,22.8745,9677.92,633.355,
702,Atrazine,1912-24-9,Herbicide,0.4512805,1721.28,1266.655,48875.75,3302.54,
703,Tebuthiuron,34014-18-1,Herbicide,11.9905,1637.505,1579.58,51394.45,3244.92,
704,"2,2'-[Ethane-1,2-diylbis(oxy)]diethanamine",929-59-9,Chemical intermediate,567.6535,311.2935,143.7345,17206.6,2119.69,
705,Pimozide,2062-78-4,CiPA pharmaceutical,3.200515,0.239369,9.38E-05,1909.155,50.3301,Known
706,Diclofenac,15307-86-5,Pharmaceutical,892.2985,29.1394,246.852,517.282,1194.485,
707,"3,4-Dimethylphenol",95-65-8,Food flavor fragrance,6.233895,1507.43,1603.985,38355.25,2378.515,
708,Caffeine,58-08-2,Food flavor fragrance,75.49305,1567.005,1000,43602.55,2598.87,
709,Thiabendazole,148-79-8,Pesticide,56.44755,1257.875,1638.495,42752.25,2909.53,
710,"1,3-Dichlorobenzene",541-73-1,Pesticide,669.2785,1000,1000,43380.95,3187.005,
711,Tris(2-ethylhexyl)_trimellitate,3319-31-1,Plasticizer,393.203,1288.29,1166.015,36972.55,3388.75,
712,5alpha-Dihydrotestosterone,521-18-6,Pharmaceutical,61.6005,810.5985,766.4635,37070.5,1303.74,
713,Triamcinolone,124-94-7,Pharmaceutical,273.3685,369.7805,1447.945,79260.3,2035.21,
714,Prometryn,7287-19-6,Herbicide,1.18503,1197.545,33.57325,35701.45,1757.58,
715,"4,4'-(Isopropylidenebis(4,1-phenyleneoxy))dianiline",13080-86-9,Other,40.51115,466.1265,365.9955,27072.6,471.439,
716,Propyl_gallate,121-79-9,Food flavor fragrance,1.40145,575.933,347.739,35276.5,323.4415,
717,"1,2-Dimethyl-3-nitrobenzene",83-41-0,Chemical intermediate,7.37907,1462.55,1000,47844.75,2379.855,
718,Ammonium_sulfamate,7773-06-0,Herbicide,5.02951,24.8182,329.4375,97.57165,505.4715,
719,Dicloran,99-30-9,Microbiocide,453.679,913.6535,1204.96,61112.15,2681.045,
720,Glycidol,556-52-5,Chemical intermediate,1.348925,682.5955,33.19535,17599.4,1618.83,
721,Lovastatin,75330-75-5,Pharmaceutical,22.50305,244.962,312.724,6765.8,595.374,
722,Diquat_dibromide_monohydrate,6385-62-2,Herbicide,306.121,590.2305,216.9255,26394.5,1535.56,
723,Diazinon,333-41-5,Pesticide,14.89515,1309.57,1316.245,42999,2542.71,
724,Clothianidin,210880-92-5,Pesticide,91.37415,1421.555,1578.17,44123.7,2945.31,
725,meso-Hexestrol,84-16-2,Pharmaceutical,135.5815,8.26862,196.7975,147.264,57.38475,
726,Oxytetracycline_dihydrate,6153-64-6,Pharmaceutical,180.6425,1206.255,1295.265,48569.1,2287.21,
727,Propachlor,1918-16-7,Herbicide,234.4235,452.229,1000,34693.65,1387.71,
728,Tris(2-chloroethyl)_phosphate,115-96-8,Flame retardant,190.237,35.9154,67.4816,869.7795,3328.535,
729,Resmethrin,10453-86-8,Pesticide,368.7535,334.1345,1411.16,5552.855,2729.71,
730,Silica,7631-86-9,Chemical intermediate,78.2788,1546.845,1604.55,43168.1,3112.295,
731,Fenoxycarb,72490-01-8,Pesticide,11.25785,11.7004,89.444,75.31885,438.498,
732,"1,2-Dinitrobenzene",528-29-0,Chemical intermediate,1000,203.8705,232.8475,40139.8,3481.495,
733,Cyanazine,21725-46-2,Herbicide,207.001,57.4779,22.10065,583.866,6.97709,
734,Difenzoquat_metilsulfate,43222-48-6,Herbicide,25.59365,1000,1485.135,34625.15,3420.055,
735,Michler's_ketone,90-94-8,Chemical intermediate,7.182215,107.8025,95.6798,6473.655,310.5255,
736,"N,N'-Methylenebisacrylamide",110-26-9,Chemical intermediate,105.193,1036.76,911.0845,39885.8,2786.725,
737,"2-Norbornene-5,6-dicarboxylic_anhydride",826-62-0,Food flavor fragrance,14.9343,14.0094,48.5731,54.78165,489.5585,
738,Monuron,150-68-5,Herbicide,677.7795,61.9457,235.2275,15308.2,431.4815,
739,Diethylene_glycol,111-46-6,Solvent,0.0949743,1443.585,1106.805,43854.75,1634.515,
740,Prodiamine,29091-21-2,Herbicide,235.6435,1.17076,1.193235,38.74715,454.5305,
741,Quinoline,91-22-5,Solvent,39.2602,690.443,252.1015,29436.55,502.3635,
742,Hexachlorocyclopentadiene,77-47-4,Chemical intermediate,74.52035,1167.635,1798.255,53144.05,3174.545,
743,Tralkoxydim,87820-88-0,Herbicide,901.841,1000,1508.54,52125.55,3425.69,
744,Diallyl_phthalate,131-17-9,Plasticizer,39.9111,1469.265,1539.335,44956.7,3147.94,
745,Carbaryl,63-25-2,Pesticide,159.4065,1000,1484.895,41023.95,1522.26,
746,"N-Phenyl-1,4-benzenediamine",101-54-2,Chemical intermediate,0.01528595,1510.525,1097.225,51726.65,1444.41,
747,Difenoconazole,119446-68-3,Microbiocide,521.922,1000,1443.465,32663.05,1087.745,
748,Perfluorooctanesulfonic_acid,1763-23-1,Surfactant,23.62835,1000,574.8445,44766.25,121.5105,
749,Azinphos-methyl,86-50-0,Pesticide,53.2627,736.0845,266.1985,27272.05,23.76095,
750,Famoxadone,131807-57-3,Microbiocide,7.267555,306.292,16.65875,10147.45,223.881,
751,Colchicine,64-86-8,Pharmaceutical,440.404,79.18225,679.566,6680.475,924.409,
752,Ethofumesate,26225-79-6,Herbicide,260.2645,1.38015,2.0223,105.1435,421.4165,
753,Clomazone,81777-89-1,Herbicide,80.0247,52.8432,59.97985,5808.365,91.32695,
754,Levothyroxine,51-48-9,Pharmaceutical,142.638,50.107,35.3184,6721.68,3261.995,
755,Folic_acid,59-30-3,Food flavor fragrance,45.63515,9.91729,856.6785,43078.15,1481.905,
756,Propamocarb_hydrochloride,25606-41-1,Pesticide,483.556,20.63745,685.064,958.3805,1460.63,
757,"2,6-Di-tert-butylphenol",128-39-2,Chemical intermediate,324.117,1000,1000,25807.2,2563.03,
758,Vernolate,1929-77-7,Herbicide,87.25565,514.077,184.937,10194.6,396.9785,
759,"o,p'-DDT",789-02-6,Pesticide,8.077935,365.2015,214.6295,5982.44,1169.23,
760,Perfluorodecanoic_acid,335-76-2,Solvent,131.5175,14.72635,19.0835,143.207,355.9155,
761,Pyrene,129-00-0,PAH,1000,1034,1000,38323.65,3358.43,
762,Fosthiazate,98886-44-3,Pesticide,1285.025,0.09364775,4.512335,6960685,3449.94,
763,Isoeugenol,97-54-1,Food flavor fragrance,31.7624,566.0425,705.7905,52302.1,2398.845,
764,Bentazone,25057-89-0,Herbicide,1177.795,7.308065,1346.635,115146,3377.96,
765,Metolachlor,51218-45-2,Herbicide,75.9591,25.34135,1137.49,723.5255,2192.145,
766,Acifluorfen,50594-66-6,Herbicide,813.223,856.64,1387.755,50482.35,3112.935,
767,Dithiopyr,97886-45-8,Herbicide,40.37155,1045.945,1000,60030.7,2507.955,
768,Aldoxycarb,1646-88-4,Pesticide,13.9341,474.3285,924.962,16412.8,1205.495,
769,Naled,300-76-5,Pesticide,0.03595045,258.7955,332.292,9147.065,102.233,
770,Candoxatril,123122-55-4,Pharmaceutical,51.1417,1425.885,1789.45,48838.85,511.562,
771,Acetyl_tributyl_citrate,77-90-7,Food flavor fragrance,0.1044305,380.738,21.9691,13587.45,197.5965,
772,Malic_acid,6915-15-7,Food flavor fragrance,1000,59.96585,1229.395,5716.325,1608.68,
773,Diethylene_glycol_dibenzoate,120-55-8,Plasticizer,2.875735,358.9235,1008.465,25539.75,1642.68,
774,Etoxazole,153233-91-1,Pesticide,73.94975,1439.375,1803.51,38738.9,2867.595,
775,"2,3-Diaminotoluene",2687-25-4,Chemical intermediate,89.45755,0.3095595,195.242,1099285,468.517,
776,Benodanil,15310-01-7,Microbiocide,756.61,144.384,1255.37,4162.49,3052.845,
777,Ranitidine,66357-35-5,Pharmaceutical,1.806235,32.1342,34.3866,171.0535,2651.325,
778,Thiamethoxam,153719-23-4,Pesticide,1000,455.902,1000,59112.25,3213.695,
779,Methyl_parathion,298-00-0,Pesticide,26.05065,28.6167,341.3145,128.8005,356.918,
780,Anthracene,120-12-7,Chemical intermediate,1.776465,122.381,597.4625,22566.9,1367.67,
781,Lindane,58-89-9,Pesticide,127.852,0.8851395,58.79645,34.88915,1091.22,
782,Acetaminophen,103-90-2,Pharmaceutical,1000,376.313,973.2705,35669.2,2238.455,
783,Naproxen,22204-53-1,Pharmaceutical,1000,745.924,79.16025,33710.75,3478.745,
784,Butylate,2008-41-5,Herbicide,788.861,77.135,30.22385,7787.445,3191.155,
785,Dimethyl_sulfate,77-78-1,Chemical intermediate,935.404,49.80685,35.98435,17730.9,2830.24,
786,N-Vinyl-2-pyrrolidone,88-12-0,Chemical intermediate,130.972,1000,1005.66,46012.4,2668.48,
787,Darbufelone_mesylate,139340-56-0,Pharmaceutical,49.55725,124.4305,28.55525,6592.875,545.149,
788,Triclopyr,55335-06-3,Herbicide,110.562,1059.175,887.74,53853.65,3491.36,
789,1-Undecanol,112-42-5,Food flavor fragrance,96.0079,144.0475,289.383,9159.625,480.377,
790,Bicalutamide,90357-06-5,Pharmaceutical,17.3433,176.383,126.557,7656.7,126.918,Possible
791,Flumetsulam,98967-40-9,Herbicide,987.374,787.0815,802.552,40538.8,3643.86,
792,m-Cresol,108-39-4,Chemical intermediate,404.553,41.5928,26.2757,658.865,2336.12,
793,Tolbutamide,64-77-7,Pharmaceutical,105.544,5.959965,136.862,43.60945,272.9775,
794,Benomyl,17804-35-2,Microbiocide,74.018,39.7478,110.5725,3859.365,367.923,
795,"2,4,5-Trichlorophenol",95-95-4,Microbiocide,161.7245,96.0939,63.8372,7662.325,425.471,
796,"1,3-Dinitrobenzene",99-65-0,Chemical intermediate,512.478,12.3882,281.926,239.1125,425.704,
797,Triclosan,3380-34-5,Microbiocide,0.2608085,59.7351,7.09137,2139.15,72.42675,
798,Physostigmine,57-47-6,Pharmaceutical,1518.61,99.7617,28.03225,56674.55,3157.735,
799,Acetic_acid,64-19-7,Chemical intermediate,774.4205,168.098,57.0039,7694.7,3088.81,
